,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,tenure,MonthlyCharges,TotalCharges,Age,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
,21,20.5,402.85,31,32.89,0,0,0,690.69,1093.54,4
,62,19.95,1244.8,28,47.96,0,0,0,2973.52,4218.32,4
,2,24.5,46.4,34,0,5,0,0,0,46.4,4
,27,20.6,581.85,42,8.55,0,0,0,230.85,812.7,4
,25,61.05,1540.2,31,0,9,0,0,0,1540.2,3
,49,106.65,5168.1,45,22.52,25,0,130,1103.48,6401.58,5
,63,108.25,6780.1,46,5.17,16,0,0,325.71,7105.81,3
,4,20.4,94.5,51,30.79,0,0,0,123.16,217.66,3
,1,55.3,55.3,27,36.69,82,0,0,36.69,91.99,3
,11,20.25,208,46,28.62,0,0,0,314.82,522.82,4
,52,72.95,3829.75,75,42.19,11,0,0,2193.88,6023.63,3
,60,89.45,5294.6,70,24.68,19,0,10,1480.8,6785.4,3
,64,104.65,6889.8,47,25.95,23,0,0,1660.8,8550.6,4
,43,75.2,3254.35,30,29.98,59,0,0,1289.14,4543.49,3
,61,101.15,6383.9,35,36.13,23,0,0,2203.93,8587.83,3
,66,68.75,4447.55,64,20.52,10,0,0,1354.32,5801.87,4
,67,111.05,7321.05,51,46.89,29,0,0,3141.63,10462.68,3
,42,99,4135,54,1.31,17,0,0,55.02,4190.02,4
,31,21,697.7,60,9.8,0,0,0,303.8,1001.5,3
,7,19.4,168.65,63,9.19,0,0,0,64.33,232.98,5
,34,77.2,2753.8,23,5.39,52,0,0,183.26,2937.06,5
,3,19.45,69.25,33,2.78,0,0,0,8.34,77.59,4
,19,24.85,434.8,21,0,85,0,0,0,434.8,5
,3,41.35,107.25,32,0,25,0,0,0,107.25,3
,46,19.6,851.2,59,16.07,0,0,0,739.22,1590.42,5
,69,84.45,5848.6,47,38.92,16,0,40,2685.48,8574.08,3
,5,20.25,109.8,31,7.83,0,0,0,39.15,148.95,3
,1,19.65,19.65,20,27.88,0,0,0,27.88,47.53,3
,26,20.65,595.5,28,31.53,0,0,0,819.78,1415.28,3
,25,99.3,2513.5,21,4.94,51,0,0,123.5,2637,4
,64,81.05,5135.35,47,49.49,12,0,0,3167.36,8302.71,3
,30,67.6,2000.2,31,48.04,19,0,0,1441.2,3441.4,3
,13,70.15,931.75,53,39.17,10,0,150,509.21,1590.96,5
,64,115,7396.15,37,46.44,29,0,0,2972.16,10368.31,4
,46,84.8,3958.85,28,4.08,59,0,0,187.68,4146.53,3
,12,19.7,260.9,57,36.65,0,0,0,439.8,700.7,4
,13,63.15,816.8,40,39.2,25,0,0,509.6,1326.4,3
,67,74,4868.4,49,43.01,16,0,0,2881.67,7750.07,3
,24,29.1,688,25,0,51,0,0,0,688,3
,6,50.05,288.35,37,23.01,13,0,40,138.06,466.41,5
,10,20,185.4,27,39.39,0,0,0,393.9,579.3,3
,13,74.65,966.25,39,42.62,15,0,0,554.06,1520.31,5
,7,44.4,265.8,75,0,26,0,0,0,265.8,4
,38,85.4,3297,26,17.52,59,0,0,665.76,3962.76,4
,43,94.1,4107.3,33,49.48,11,0,0,2127.64,6234.94,3
,25,108.9,2809.05,20,32.33,51,0,0,808.25,3617.3,4
,27,56.2,1567.55,19,2.63,59,0,30,71.01,1668.56,4
,72,26.1,1851.45,61,33.92,0,0,0,2442.24,4293.69,3
,71,85.45,6028.95,19,31.89,30,0,0,2264.19,8293.14,4
,24,88.95,2072.75,63,44.09,9,0,0,1058.16,3130.91,3
,57,74.35,4317.35,30,24.67,42,0,0,1406.19,5723.54,4
,15,48.85,736.8,34,31.68,23,0,0,475.2,1212,5
,4,80.1,336.15,27,44.16,82,0,0,176.64,512.79,3
,28,56.05,1522.65,51,44.11,15,0,110,1235.08,2867.73,3
,55,89.8,4959.6,37,5.08,9,0,0,279.4,5239,3
,55,19.1,1001.5,53,39.29,0,0,0,2160.95,3162.45,5
,20,20.35,442.6,58,42.46,0,0,0,849.2,1291.8,4
,62,106.05,6703.5,47,15.05,23,0,0,933.1,7636.6,4
,43,19.65,779.25,44,6.71,0,0,0,288.53,1067.78,3
,60,59.85,3483.45,49,41.4,21,0,0,2484,5967.45,3
,58,86.1,4890.5,38,22.14,2,0,110,1284.12,6284.62,3
,7,19.45,136.75,47,49.16,0,0,0,344.12,480.87,3
,2,97.1,184.15,40,39.35,24,0,0,78.7,262.85,3
,37,36.65,1315,75,0,29,0,0,0,1315,5
,65,103.9,6767.1,76,1.58,27,0,0,102.7,6869.8,3
,39,19.75,757.95,40,15.91,0,0,0,620.49,1378.44,3
,68,24.55,1657.4,20,5.84,0,0,0,397.12,2054.52,3
,62,48.7,3008.55,32,0,26,0,120,0,3128.55,3
,72,109.55,8165.1,34,44.2,2,0,0,3182.4,11347.5,3
,41,20.65,875.55,40,8.44,0,0,0,346.04,1221.59,3
,4,55.2,220.65,64,7.49,17,0,0,29.96,250.61,3
,53,24.05,1301.9,34,39.37,0,0,0,2086.61,3388.51,3
,39,20.45,790,39,36.39,0,0,0,1419.21,2209.21,5
,63,19.25,1237.65,57,17.38,0,0,0,1094.94,2332.59,3
,15,26.35,378.6,48,7.96,0,0,0,119.4,498,3
,13,43.8,592.65,34,29.49,2,0,0,383.37,976.02,3
,1,50.15,50.15,45,20.3,16,0,0,20.3,70.45,3
,1,20.45,20.45,37,43.82,0,0,0,43.82,64.27,3
,60,61.4,3638.25,24,30.92,26,0,0,1855.2,5493.45,3
,40,70.75,2921.75,33,23.74,22,0,0,949.6,3871.35,5
,66,61.15,4017.45,25,21.37,30,0,0,1410.42,5427.87,3
,42,20.25,854.9,57,9.33,0,0,0,391.86,1246.76,4
,66,63.85,4174.35,72,36.48,5,0,0,2407.68,6582.03,3
,49,98.7,4920.55,56,45.46,27,0,0,2227.54,7148.09,3
,41,20,810.3,23,10.09,0,0,0,413.69,1223.99,4
,41,19.3,772.4,34,21.28,0,0,0,872.48,1644.88,3
,23,84.4,1936.85,19,27.24,82,0,0,626.52,2563.37,3
,3,25.1,79.8,28,0,69,0,0,0,79.8,5
,4,48.25,202.25,19,0,30,0,10,0,212.25,3
,52,19.85,1070.5,27,3.41,0,0,0,177.32,1247.82,4
,11,94.2,999.9,54,9.52,4,0,0,104.72,1104.62,3
,2,62.15,113.1,59,48.39,24,0,0,96.78,209.88,3
,26,79.3,2015.8,50,37.6,10,0,0,977.6,2993.4,3
,24,56.25,1454.25,33,2.31,53,0,0,55.44,1509.69,4
,12,20.3,246.7,26,32.32,0,0,0,387.84,634.54,3
,60,99,6017.9,69,10.4,5,0,150,624,6791.9,3
,64,90.6,5817.45,44,37,19,0,0,2368,8185.45,4
,66,85.9,5595.3,42,7.61,10,0,0,502.26,6097.56,3
,60,79.2,4765,24,15.29,48,0,0,917.4,5682.4,3
,17,70.35,1201.65,36,33.24,76,0,0,565.08,1766.73,3
,42,19.35,867.3,63,34.33,0,0,0,1441.86,2309.16,4
,1,50.15,50.15,42,39.87,2,0,0,39.87,90.02,3
,47,63.8,3007.25,32,30.06,57,0,80,1412.82,4500.07,3
,10,20.55,252.75,27,10.42,0,0,0,104.2,356.95,3
,70,88.55,6306.5,69,40.94,8,0,0,2865.8,9172.3,3
,67,101.4,6841.05,76,38.85,19,0,0,2602.95,9444,4
,1,44.6,44.6,45,45.28,2,0,0,45.28,89.88,4
,4,63.75,226.2,53,3.03,11,0,0,12.12,238.32,5
,66,109.25,7082.5,61,20.11,25,0,80,1327.26,8489.76,3
,12,84.6,1017.35,31,2.57,25,0,0,30.84,1048.19,5
,24,20.45,527.35,25,5.98,0,0,0,143.52,670.87,4
,26,85.75,2146.5,48,40.35,13,0,0,1049.1,3195.6,3
,57,107.95,5969.85,31,16.78,29,0,0,956.46,6926.31,3
,42,22.95,1014.25,47,13.95,0,0,0,585.9,1600.15,5
,64,19.45,1225.65,25,14.78,0,0,0,945.92,2171.57,3
,19,19.7,386.5,62,26.54,0,0,0,504.26,890.76,4
,22,87,1850.65,56,48.68,18,0,0,1070.96,2921.61,4
,12,79.95,1043.4,23,40.06,41,0,0,480.72,1524.12,5
,31,64,1910.75,55,28.8,15,0,0,892.8,2803.55,4
,11,64.9,716.1,42,13.56,17,0,0,149.16,865.26,5
,68,25.75,1686.15,36,26.83,0,0,0,1824.44,3510.59,4
,72,90.15,6716.45,78,9.88,16,0,0,711.36,7427.81,3
,67,116.1,7839.85,68,44.56,29,0,40,2985.52,10865.37,3
,60,104.95,6236.75,30,22.88,48,0,0,1372.8,7609.55,4
,58,50,2919.85,21,0,52,0,0,0,2919.85,4
,1,20.45,20.45,32,39.61,0,0,0,39.61,60.06,5
,37,19.85,717.5,54,15.51,0,0,0,573.87,1291.37,4
,13,19.95,253.8,34,7.33,0,0,0,95.29,349.09,3
,43,26.45,1110.05,39,28.9,0,0,0,1242.7,2352.75,4
,6,63.4,348.8,21,0,52,0,10,0,358.8,4
,71,53.95,3888.65,46,0,20,0,0,0,3888.65,3
,72,95.1,6843.15,39,18.74,19,0,0,1349.28,8192.43,3
,6,74.1,450.9,65,12.67,20,0,0,76.02,526.92,3
,12,35.5,432.25,19,0,73,0,0,0,432.25,4
,21,79.2,1742.45,49,14.51,20,0,0,304.71,2047.16,3
,6,48.8,297.35,39,49.45,10,0,0,296.7,594.05,4
,43,55.45,2444.25,38,1.6,19,0,130,68.8,2643.05,4
,35,25.4,949.8,53,32.75,0,0,0,1146.25,2096.05,3
,32,93.5,2970.8,78,43.54,3,0,0,1393.28,4364.08,5
,52,63.9,3334.95,57,0,18,0,0,0,3334.95,4
,32,64.85,2010.95,43,15.52,12,0,0,496.64,2507.59,5
,72,63.8,4684.3,61,0,22,0,0,0,4684.3,4
,51,44.45,2181.55,31,0,2,0,0,0,2181.55,4
,68,19.95,1303.25,47,19.75,0,0,0,1343,2646.25,3
,8,43.35,371.4,67,0,27,0,0,0,371.4,3
,49,49.65,2409.9,22,0,27,0,0,0,2409.9,4
,72,85.1,6155.4,24,20.54,41,0,0,1478.88,7634.28,4
,54,89.8,4667,55,27.17,24,0,0,1467.18,6134.18,3
,50,103.05,5153.5,41,47.48,27,0,0,2374,7527.5,4
,69,116,8182.85,55,38.52,27,0,0,2657.88,10840.73,3
,1,69.9,69.9,46,9.36,14,0,10,9.36,89.26,4
,68,95.1,6683.4,31,9.29,18,0,0,631.72,7315.12,3
,40,40.25,1564.05,62,0,57,0,0,0,1564.05,4
,31,25.75,755.6,26,7.03,0,0,0,217.93,973.53,4
,33,105.35,3465.05,73,12.75,19,0,0,420.75,3885.8,5
,55,113.6,6292.7,72,12.91,21,0,0,710.05,7002.75,5
,68,24,1664.3,60,2.71,0,0,0,184.28,1848.58,4
,12,19.4,198.1,48,8.25,0,0,0,99,297.1,3
,71,86.1,6045.9,39,5.51,6,0,0,391.21,6437.11,4
,40,102.65,4108.15,42,32.78,29,0,0,1311.2,5419.35,4
,64,92.85,5980.75,21,37.47,69,0,0,2398.08,8378.83,4
,53,97.75,5043.2,44,32.94,17,0,0,1745.82,6789.02,3
,72,97.95,7114.25,43,38.3,3,0,0,2757.6,9871.85,4
,46,19.95,907.05,51,13.42,0,0,0,617.32,1524.37,5
,40,24.6,973.95,27,27.47,0,0,0,1098.8,2072.75,5
,12,50.95,605.75,45,0,9,0,0,0,605.75,3
,9,75.6,661.55,58,21.11,6,0,0,189.99,851.54,3
,51,80.75,4116.9,40,29.56,27,0,0,1507.56,5624.46,4
,49,90.4,4494.65,62,11.74,20,0,0,575.26,5069.91,3
,56,60.25,3282.75,32,30.86,22,0,0,1728.16,5010.91,4
,4,20.2,55.7,29,46.53,0,0,0,186.12,241.82,3
,20,64.15,1274.45,45,33.78,18,0,100,675.6,2050.05,4
,26,20.25,493.95,41,24.44,0,0,0,635.44,1129.39,5
,51,99,5038.15,34,42.33,2,0,0,2158.83,7196.98,5
,4,80.3,324.2,26,38.74,51,0,0,154.96,479.16,3
,1,19.55,19.55,30,8.23,0,0,0,8.23,27.78,4
,27,100.75,2793.55,39,14.07,15,0,0,379.89,3173.44,3
,12,53.75,648.65,53,1.8,3,0,0,21.6,670.25,5
,34,25.6,917.15,57,25.69,0,0,0,873.46,1790.61,4
,24,58.35,1346.9,50,34.01,4,0,0,816.24,2163.14,3
,14,46.35,672.7,71,0,5,0,0,0,672.7,4
,59,113.75,6561.25,34,14.98,19,0,0,883.82,7445.07,3
,3,90.4,268.45,22,31.48,73,0,0,94.44,362.89,5
,65,109.3,7337.55,22,13.25,47,0,0,861.25,8198.8,4
,59,90.3,5194.05,50,47.05,24,0,0,2775.95,7970,3
,72,65.25,4478.85,24,0,51,0,80,0,4558.85,4
,3,60.65,196.9,43,22.49,11,0,0,67.47,264.37,5
,19,24.1,439.2,62,14.48,0,0,0,275.12,714.32,4
,1,19.5,19.5,54,8.02,0,0,0,8.02,27.52,5
,24,85.95,2107.15,60,9.53,24,0,0,228.72,2335.87,3
,57,53.5,3035.8,78,28.44,24,0,0,1621.08,4656.88,4
,72,25.45,1866.45,39,6.75,0,0,0,486,2352.45,4
,67,20.5,1430.95,24,47.31,0,0,0,3169.77,4600.72,5
,52,20.85,1071.6,47,39.48,0,0,0,2052.96,3124.56,4
,71,89.9,6457.15,57,31.33,27,0,0,2224.43,8681.58,3
,26,26,684.05,56,33.47,0,0,0,870.22,1554.27,5
,35,113.2,3914.05,49,30.5,8,0,0,1067.5,4981.55,4
,55,69.05,3842.6,52,27.87,17,0,0,1532.85,5375.45,3
,33,20.1,670.35,61,24.27,0,0,0,800.91,1471.26,3
,72,109.65,7880.25,20,6.89,73,0,10,496.08,8386.33,4
,1,19.2,19.2,37,17.89,0,0,0,17.89,37.09,3
,37,90,3371.75,66,15.6,19,0,0,577.2,3948.95,4
,12,34,442.45,35,0,6,0,0,0,442.45,3
,1,20.4,20.4,27,27.5,0,0,0,27.5,47.9,4
,62,38.6,2345.55,56,0,29,0,0,0,2345.55,4
,1,25.25,25.25,40,0,15,0,10,0,35.25,5
,18,60.6,1156.35,64,10.97,9,0,0,197.46,1353.81,3
,2,74.75,144.8,19,43.56,52,0,0,87.12,231.92,3
,19,20.6,414.95,43,4.7,0,0,0,89.3,504.25,3
,9,20.4,181.8,36,13.72,0,0,0,123.48,305.28,5
,27,81.7,2212.55,58,49.25,4,0,0,1329.75,3542.3,4
,24,20.3,459.95,78,18.39,0,0,0,441.36,901.31,5
,11,20,211.95,31,46.49,0,0,0,511.39,723.34,4
,1,25,25,41,3.39,0,0,0,3.39,28.39,3
,38,80.45,3162.65,76,45.13,27,0,0,1714.94,4877.59,3
,9,19.75,210.65,45,16.13,0,0,0,145.17,355.82,4
,54,65.65,3566.7,25,24.59,52,0,0,1327.86,4894.56,3
,29,71,2080.1,47,41.38,4,0,0,1200.02,3280.12,5
,44,89.2,4040.2,72,14.65,30,0,0,644.6,4684.8,4
,59,86.75,5186,21,42.37,73,0,150,2499.83,7835.83,3
,18,61.5,1087.45,22,40.36,51,0,0,726.48,1813.93,4
,67,25.1,1672.15,73,14.69,0,0,0,984.23,2656.38,3
,33,34.05,1113.95,64,0,12,0,0,0,1113.95,3
,5,19.95,107.05,31,24.16,0,0,0,120.8,227.85,5
,2,19.95,38.15,33,34.57,0,0,0,69.14,107.29,4
,72,89.7,6339.3,25,33.75,30,0,0,2430,8769.3,3
,9,20.4,184.1,34,45.83,0,0,0,412.47,596.57,4
,67,26.3,1688.9,54,14.54,0,0,0,974.18,2663.08,5
,8,20.7,137.6,59,26.47,0,0,0,211.76,349.36,5
,17,19.45,369.05,50,39.34,0,0,0,668.78,1037.83,4
,68,110.8,7553.6,61,46.7,14,0,0,3175.6,10729.2,3
,25,69.3,1813.1,75,38.59,24,0,0,964.75,2777.85,4
,67,49.35,3321.35,30,0,85,0,0,0,3321.35,3
,32,20.35,707.5,20,36.78,0,0,0,1176.96,1884.46,5
,67,105.6,7112.15,74,11.91,10,0,0,797.97,7910.12,3
,72,64.45,4641.1,76,0,9,0,0,0,4641.1,5
,1,49.9,49.9,29,6.35,76,0,0,6.35,56.25,5
,48,65.65,3094.65,27,49.88,42,0,0,2394.24,5488.89,3
,61,103.3,6518.35,63,18.03,22,0,0,1099.83,7618.18,5
,2,44.45,82.7,22,18.7,59,0,0,37.4,120.1,3
,71,89.9,6342.7,22,37.57,85,0,150,2667.47,9160.17,5
,37,55.05,2030.75,57,27.41,10,0,0,1014.17,3044.92,5
,65,104.1,6700.05,40,39.52,57,0,0,2568.8,9268.85,4
,67,106.6,7244.7,19,18.74,59,0,0,1255.58,8500.28,4
,50,70.5,3486.65,53,44.49,28,0,0,2224.5,5711.15,4
,25,19.6,411.15,43,15.76,0,0,0,394,805.15,4
,64,24.05,1559.15,45,17.93,0,0,0,1147.52,2706.67,3
,25,38.1,970.4,37,0,24,0,100,0,1070.4,5
,24,34.25,828.2,68,0,28,0,0,0,828.2,4
,37,100.05,3810.55,64,17.46,22,0,0,646.02,4456.57,5
,21,68.65,1493.2,60,30.59,11,0,0,642.39,2135.59,5
,1,45.8,45.8,34,13.62,21,0,0,13.62,59.42,5
,10,75.75,777.3,37,39.85,21,0,0,398.5,1175.8,5
,51,96.4,4911.05,63,35,8,0,0,1785,6696.05,3
,10,20.55,187.35,63,4.76,0,0,0,47.6,234.95,3
,6,50.95,307.6,43,0,23,0,0,0,307.6,3
,47,90.5,4318.35,30,11.74,48,0,0,551.78,4870.13,3
,61,79.4,4820.55,52,40.48,20,0,0,2469.28,7289.83,3
,52,58.75,3038.55,40,0,19,0,0,0,3038.55,4
,35,59.45,2136.9,42,39.11,23,0,0,1368.85,3505.75,3
,71,105.7,7472.15,52,29.11,28,0,0,2066.81,9538.96,4
,45,53.3,2296.25,37,43.27,4,0,90,1947.15,4333.4,3
,2,24.3,38.45,19,0,59,0,0,0,38.45,4
,51,59.9,3043.6,59,9.85,3,0,0,502.35,3545.95,3
,60,23.95,1506.4,37,28.45,0,0,0,1707,3213.4,5
,9,20.15,163.7,40,48.61,0,0,0,437.49,601.19,4
,17,95.65,1640,58,21.14,5,0,0,359.38,1999.38,4
,46,81,3846.35,37,45.95,10,0,0,2113.7,5960.05,4
,68,82.45,5646.6,21,14.86,59,0,90,1010.48,6747.08,3
,4,20.5,79.05,52,44.73,0,0,0,178.92,257.97,5
,28,54.4,1516.6,55,34.43,22,0,0,964.04,2480.64,3
,39,58.6,2224.5,23,48.17,58,0,0,1878.63,4103.13,4
,11,84.8,888.75,54,30.57,15,0,0,336.27,1225.02,4
,71,61.4,4310.35,46,0,27,0,0,0,4310.35,4
,2,20.4,42.9,42,49.53,0,0,0,99.06,141.96,3
,17,20.15,353.65,35,4.38,0,0,0,74.46,428.11,5
,55,94.45,5073.1,64,34.61,16,0,0,1903.55,6976.65,5
,58,79.8,4526.85,47,22.71,14,0,0,1317.18,5844.03,4
,9,74.05,678.45,66,39.77,25,0,0,357.93,1036.38,5
,26,49.15,1237.3,36,44.11,8,0,0,1146.86,2384.16,4
,50,19.4,1023.95,36,12.62,0,0,0,631,1654.95,5
,72,113.65,8182.75,35,29,22,0,0,2088,10270.75,3
,43,106,4532.3,47,10.19,10,0,130,438.17,5100.47,4
,56,25.95,1444.05,52,47.82,0,0,0,2677.92,4121.97,3
,1,19.1,19.1,28,5.02,0,0,0,5.02,24.12,5
,72,100.55,7325.1,62,43.84,15,0,0,3156.48,10481.58,5
,36,95.4,3474.2,58,40.58,12,0,0,1460.88,4935.08,3
,5,75.15,392.65,51,45.69,4,0,0,228.45,621.1,4
,44,89.15,3990.75,70,35.39,19,0,0,1557.16,5547.91,4
,70,107.9,7475.85,65,9.4,17,0,20,658,8153.85,3
,44,19.5,835.5,60,18.14,0,0,0,798.16,1633.66,4
,69,24.95,1718.35,23,45.12,0,0,0,3113.28,4831.63,3
,68,19.5,1193.55,73,35.14,0,0,0,2389.52,3583.07,3
,16,69.95,1205.5,43,27.43,27,0,0,438.88,1644.38,5
,68,82.85,5776.45,52,27.59,27,0,0,1876.12,7652.57,4
,4,19,78.9,31,20.16,0,0,0,80.64,159.54,4
,26,38.85,1025.15,40,0,23,0,30,0,1055.15,4
,5,20.35,122,39,8.01,0,0,0,40.05,162.05,4
,70,95,6602.9,48,31.13,16,0,0,2179.1,8782,4
,24,74.4,1712.9,61,32.86,30,0,0,788.64,2501.54,3
,72,78.45,5682.25,68,15.82,13,0,0,1139.04,6821.29,3
,1,74.3,74.3,37,39.55,21,0,0,39.55,113.85,5
,70,51.05,3635.15,19,0,41,0,120,0,3755.15,4
,36,19.2,702.9,56,20.57,0,0,0,740.52,1443.42,5
,41,109.1,4454.25,28,20.41,59,0,0,836.81,5291.06,5
,14,76.45,1117.55,20,18.46,26,0,0,258.44,1375.99,4
,13,72.8,930.05,33,13.77,23,0,0,179.01,1109.06,4
,6,18.95,110.15,24,27.54,0,0,0,165.24,275.39,4
,15,101.75,1669.4,55,24.12,13,0,0,361.8,2031.2,3
,47,75.45,3545.1,19,48.03,69,0,0,2257.41,5802.51,4
,8,64.1,504.05,19,45.04,73,0,10,360.32,874.37,5
,17,25.65,440.2,63,0,11,0,0,0,440.2,3
,15,75.1,1151.55,39,32.73,17,0,0,490.95,1642.5,4
,26,95.85,2475.35,60,40.14,4,0,0,1043.64,3518.99,3
,23,54.4,1249.25,40,48.63,11,0,0,1118.49,2367.74,3
,4,72.75,317.75,76,35.67,8,0,0,142.68,460.43,4
,29,19.85,535.05,54,2,0,0,0,58,593.05,4
,25,19.05,461.3,50,30.28,0,0,0,757,1218.3,5
,3,94.85,335.75,65,37.78,28,0,0,113.34,449.09,4
,69,46.25,3121.4,29,0,69,0,0,0,3121.4,4
,14,19.35,324.8,24,26.02,0,0,0,364.28,689.08,3
,19,69.6,1394.55,54,13.76,4,0,0,261.44,1655.99,4
,39,90.7,3413.25,76,20.06,3,0,0,782.34,4195.59,4
,31,101.4,3143.65,20,19.38,76,0,0,600.78,3744.43,4
,24,20.25,439.75,61,40.81,0,0,0,979.44,1419.19,4
,14,48.8,664.4,39,21.34,24,0,0,298.76,963.16,5
,64,74.35,4759.55,23,18.03,42,0,0,1153.92,5913.47,3
,50,19.35,1033,29,17.88,0,29.5,0,894,1897.5,3
,52,68.75,3482.85,45,5.51,19,16.86,0,286.52,3752.51,3
,28,100.2,2688.45,31,12.36,13,42.64,0,346.08,2991.89,3
,21,20.85,435.25,40,22.29,0,1.31,0,468.09,902.03,3
,17,19.35,307,33,1.64,0,10.57,0,27.88,324.31,5
,58,45,2689.35,53,0,23,0,0,0,2689.35,3
,51,25.5,1281.25,59,20.47,0,0,0,1043.97,2325.22,5
,72,48.9,3527,53,0,53,34.44,0,0,3492.56,3
,27,19.6,561.15,62,15.41,0,13.07,0,416.07,964.15,5
,3,20,63.6,38,40.2,0,0,0,120.6,184.2,3
,64,81.3,5129.3,33,16.61,4,22.34,0,1063.04,6170,4
,45,95.2,4285.8,51,48.02,18,43.95,50,2160.9,6452.75,5
,71,83.3,5894.5,56,13.41,18,37.44,0,952.11,6809.17,4
,58,20.3,1160.75,35,17.21,0,25.57,0,998.18,2133.36,3
,34,89.85,3091.75,25,18.36,85,14.93,0,624.24,3701.06,5
,15,19.8,272.95,49,17.43,0,18.55,0,261.45,515.85,4
,66,54.65,3632,49,0,28,46.75,0,0,3585.25,5
,12,29.35,381.2,79,0,4,38.98,0,0,342.22,3
,58,19.15,1035.5,49,29.31,0,28.7,0,1699.98,2706.78,5
,3,19.1,52,32,45.33,0,0,0,135.99,187.99,5
,9,80.55,653.9,38,32.57,13,2.28,0,293.13,944.75,3
,3,20.25,71.2,60,1.47,0,0,0,4.41,75.61,3
,40,106,4178.65,37,29.46,28,47.02,0,1178.4,5310.03,5
,68,25.5,1821.8,50,9.82,0,16.85,0,667.76,2472.71,5
,50,79.6,4024.2,39,48.45,14,0,0,2422.5,6446.7,4
,1,55.25,55.25,21,39.19,69,0,60,39.19,154.44,5
,72,88.05,6520.8,49,38.28,24,29.11,0,2756.16,9247.85,4
,40,20.4,854.9,58,26.41,0,32.55,0,1056.4,1878.75,5
,72,117.6,8308.9,28,47.02,48,5.44,0,3385.44,11688.9,3
,6,20,109.2,60,47.46,0,0,0,284.76,393.96,3
,5,19.65,92.05,62,41.93,0,0,0,209.65,301.7,3
,48,70.55,3420.5,41,38.82,8,0,0,1863.36,5283.86,4
,64,65.8,4068,39,26.7,17,27.79,20,1708.8,5769.01,3
,17,20.05,337.9,63,3.84,0,43.68,0,65.28,359.5,4
,40,80,3168.75,41,39.22,27,41.74,0,1568.8,4695.81,3
,41,35.4,1412.4,37,0,16,0,0,0,1412.4,4
,51,79.6,3974.7,69,24.92,11,16.73,0,1270.92,5228.89,5
,41,80.25,3439,36,39.39,3,2.18,0,1614.99,5051.81,5
,2,20.45,42.45,31,47.19,0,0,0,94.38,136.83,5
,68,79.6,5461.45,50,18.53,21,3.26,10,1260.04,6728.23,4
,24,24.7,571.75,42,20.74,0,0,0,497.76,1069.51,3
,70,77.3,5498.2,22,4.8,41,26.87,0,336,5807.33,3
,3,29.75,96.85,58,0,18,0,0,0,96.85,3
,2,44.9,111.05,56,5.08,17,0,0,10.16,121.21,4
,3,29.8,94.4,62,0,4,0,0,0,94.4,3
,13,71.95,923.85,54,10.66,5,10.47,0,138.58,1051.96,3
,7,20.75,141.1,44,47.19,0,0,0,330.33,471.43,5
,12,56.3,628.65,49,17.27,29,0,0,207.24,835.89,3
,53,105.25,5576.3,40,3.78,27,0,0,200.34,5776.64,3
,63,19.55,1245.6,48,10.67,0,0,0,672.21,1917.81,5
,15,84.45,1287.85,58,8.97,2,0,0,134.55,1422.4,3
,36,53.65,1939.35,40,8,19,0,0,288,2227.35,4
,4,29.9,118.25,78,0,5,0,0,0,118.25,4
,24,19.7,452.55,51,30.41,0,0,0,729.84,1182.39,4
,61,43.7,2696.55,59,0,8,0,0,0,2696.55,4
,16,55.3,875.35,43,5.79,4,0,0,92.64,967.99,5
,65,19.85,1267.05,55,33.47,0,0,0,2175.55,3442.6,3
,26,19.65,494.9,40,12.71,0,0,0,330.46,825.36,4
,16,49.45,799,29,48.45,59,0,0,775.2,1574.2,4
,5,20.45,106.9,19,29.15,0,0,0,145.75,252.65,3
,19,39.7,710.05,19,0,59,0,110,0,820.05,5
,10,54.5,568.2,29,33.98,59,0,0,339.8,908,4
,72,111.6,8012.75,42,24.19,13,0,0,1741.68,9754.43,5
,10,55.55,551.3,30,5.74,59,0,0,57.4,608.7,5
,11,20.55,184.95,34,26.11,0,0,0,287.21,472.16,5
,17,62.1,1096.65,58,32.27,28,0,0,548.59,1645.24,3
,36,104.5,3684.95,39,43.7,26,0,0,1573.2,5258.15,3
,17,101.8,1752.45,77,17.26,25,27.15,90,293.42,2108.72,4
,66,110.6,7210.85,70,44.38,28,0,0,2929.08,10139.93,4
,61,84.9,5264.5,21,12.72,48,0,0,775.92,6040.42,3
,22,93.2,2157.3,50,46.5,17,0,0,1023,3180.3,4
,1,24.4,24.4,40,0,6,0,0,0,24.4,5
,6,70.55,433.95,52,30.54,27,0,0,183.24,617.19,3
,68,85,5607.75,61,6.28,16,0,130,427.04,6164.79,3
,52,85.8,4433.3,61,16.87,24,0,0,877.24,5310.54,3
,10,91.1,964.35,43,42.93,52,0,0,429.3,1393.65,3
,72,20.1,1460.85,39,14.17,0,0,0,1020.24,2481.09,5
,47,20.05,951.55,28,6.51,0,0,0,305.97,1257.52,5
,24,74.8,1821.2,57,8.67,10,0,0,208.08,2029.28,4
,65,24.8,1600.95,50,45.87,0,0,0,2981.55,4582.5,4
